TermID	padj	species
carotene biosynthetic process	7.638827619284065e-4	Gmax
leucine catabolic process	7.638827619284065e-4	Gmax
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	7.638827619284065e-4	Gmax
purine nucleotide biosynthetic process	9.202768118295788e-4	Gmax
cellular response to iron ion	9.494440483207032e-4	Gmax
tRNA aminoacylation	9.494440483207032e-4	Gmax
ethylene-activated signaling pathway	0.0011203469196103648	Gmax
positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.0011960861393717538	Gmax
anther dehiscence	0.0012749520189239544	Gmax
flavonol biosynthetic process	0.0012749520189239544	Gmax
fruit dehiscence	0.0012749520189239544	Gmax
nucleoside triphosphate catabolic process	0.0012749520189239544	Gmax
photoinhibition	0.0012749520189239544	Gmax
mitochondrion organization	0.0013099234316969557	Gmax
translational elongation	0.0013099234316969557	Gmax
glutathione metabolic process	0.0013954017012615786	Gmax
DNA recombinase assembly	0.0014090530002211978	Gmax
valine metabolic process	0.0014090530002211978	Gmax
circadian rhythm	0.0014440609343520684	Gmax
phosphatidylinositol phosphate biosynthetic process	0.001445863276041871	Gmax
histone arginine methylation	0.001534778106243155	Gmax
leucine biosynthetic process	0.001534778106243155	Gmax
protein neddylation	0.001534778106243155	Gmax
embryo development ending in seed dormancy	0.00174932944891292	Gmax
lipid homeostasis	0.00174932944891292	Gmax
SRP-dependent cotranslational protein targeting to membrane	0.00174932944891292	Gmax
GDP-mannose biosynthetic process	0.0019210543667008964	Gmax
nucleotide-sugar metabolic process	0.0019210543667008964	Gmax
protein glutathionylation	0.0019210543667008964	Gmax
pollen development	0.002004797876766644	Gmax
reciprocal meiotic recombination	0.002793054558173144	Gmax
mRNA methylation	0.002878640234902728	Gmax
regulation of G2/M transition of mitotic cell cycle	0.002878640234902728	Gmax
sister chromatid cohesion	0.002878640234902728	Gmax
porphyrin-containing compound biosynthetic process	0.003110636092721251	Gmax
guard cell differentiation	0.003176065579650796	Gmax
stomatal complex development	0.003176065579650796	Gmax
nitrogen compound metabolic process	0.003224485336249815	Gmax
mitochondrial mRNA modification	0.00330923247666665	Gmax
box C/D snoRNP assembly	0.004048924310199558	Gmax
mitotic DNA replication checkpoint signaling	0.004048924310199558	Gmax
nitrate assimilation	0.004048924310199558	Gmax
reproductive process	0.004048924310199558	Gmax
peptidyl-arginine methylation	0.004128643556219916	Gmax
cellular metabolic process	0.004128643556219916	Gmax
anatomical structure development	0.004380020714275574	Gmax
protein catabolic process	0.0050093498900957295	Gmax
response to stress	0.00501593943292148	Gmax
ubiquinone biosynthetic process	0.005044746408263616	Gmax
peptidyl-serine dephosphorylation	0.005092916452884025	Gmax
pentose-phosphate shunt, non-oxidative branch	0.005492397347212504	Gmax
UMP salvage	0.005492397347212504	Gmax
chromosome organization involved in meiotic cell cycle	0.005660481967788172	Gmax
oxaloacetate metabolic process	0.005660481967788172	Gmax
strand invasion	0.005660481967788172	Gmax
thymine catabolic process	0.005660481967788172	Gmax
tRNA-guanine transglycosylation	0.005660481967788172	Gmax
isoprenoid biosynthetic process	0.005899274150060956	Gmax
nucleotide biosynthetic process	0.0072895201904189365	Gmax
microtubule cytoskeleton organization	0.008211790749803978	Gmax
cell cycle	0.008597921483086468	Gmax
CTP salvage	0.009012361432315633	Gmax
inositol biosynthetic process	0.009012361432315633	Gmax
NADH metabolic process	0.009012361432315633	Gmax
purine nucleobase biosynthetic process	0.009012361432315633	Gmax
'de novo' protein folding	0.009012361432315633	Gmax
COPI coating of Golgi vesicle	0.009012361432315633	Gmax
isoleucyl-tRNA aminoacylation	0.009012361432315633	Gmax
maintenance of DNA repeat elements	0.009012361432315633	Gmax
mitotic DNA replication	0.009012361432315633	Gmax
mitotic recombination-dependent replication fork processing	0.009012361432315633	Gmax
negative regulation of macroautophagy	0.009012361432315633	Gmax
para-aminobenzoic acid biosynthetic process	0.009012361432315633	Gmax
plastoquinone biosynthetic process	0.009012361432315633	Gmax
regulation of phosphorylation of RNA polymerase II C-terminal domain	0.009012361432315633	Gmax
root epidermal cell differentiation	0.009012361432315633	Gmax
sno(s)RNA 3'-end processing	0.009012361432315633	Gmax
succinate metabolic process	0.009012361432315633	Gmax
cellular amino acid biosynthetic process	0.009306485207739745	Gmax
mitotic spindle assembly	0.010199688583135184	Gmax
transcription by RNA polymerase II	0.011195739841741313	Gmax
nucleic acid metabolic process	0.011502579355918193	Gmax
sphingosine biosynthetic process	0.011502579355918193	Gmax
organonitrogen compound metabolic process	0.011977926275409835	Gmax
plant-type cell wall biogenesis	0.011977926275409835	Gmax
mitotic sister chromatid cohesion	0.012582550556218198	Gmax
inositol metabolic process	0.013341537068129414	Gmax
protein transport by the Tat complex	0.013341537068129414	Gmax
regulation of mitotic metaphase/anaphase transition	0.013341537068129414	Gmax
spliceosomal complex disassembly	0.013341537068129414	Gmax
regulation of macromolecule metabolic process	0.014100717005595082	Gmax
histone H3-K4 methylation	0.01410504871188982	Gmax
regulation of ion transmembrane transport	0.01410504871188982	Gmax
riboflavin biosynthetic process	0.01410504871188982	Gmax
multicellular organism development	0.01470741914983708	Gmax
monocarboxylic acid metabolic process	0.01603700289871841	Gmax
mRNA polyadenylation	0.01603700289871841	Gmax
obsolete oxidation-reduction process	0.016875073933037367	Gmax
Arp2/3 complex-mediated actin nucleation	0.017265779794704485	Gmax
ceramide biosynthetic process	0.017265779794704485	Gmax
RNA export from nucleus	0.017265779794704485	Gmax
G1/S transition of mitotic cell cycle	0.021189859254034174	Gmax
photosystem II repair	0.021189859254034174	Gmax
DNA duplex unwinding	0.021377285165189518	Gmax
dTDP-rhamnose biosynthetic process	0.023891933961911235	Gmax
negative regulation of DNA helicase activity	0.023891933961911235	Gmax
protein deacetylation	0.023891933961911235	Gmax
aminoacyl-tRNA metabolism involved in translational fidelity	0.025322181914718547	Gmax
protein targeting	0.025322181914718547	Gmax
phosphatidic acid biosynthetic process	0.025465831746673023	Gmax
endoplasmic reticulum to Golgi vesicle-mediated transport	0.0288914240646954	Gmax
mitotic chromosome condensation	0.03001568229687874	Gmax
modification-dependent protein catabolic process	0.03001568229687874	Gmax
polyketide biosynthetic process	0.03001568229687874	Gmax
superoxide metabolic process	0.03364868792055995	Gmax
lipid storage	0.0354425775256526	Gmax
protein methylation	0.0354425775256526	Gmax
RNA processing	0.03829393547676472	Gmax
glycogen biosynthetic process	0.04158950650499504	Gmax
valine catabolic process	0.04312688161162001	Gmax
glutamyl-tRNA aminoacylation	0.04412293888675952	Gmax
L-lysine catabolic process to acetyl-CoA via saccharopine	0.04412293888675952	Gmax
meiotic mismatch repair	0.04412293888675952	Gmax
meiotic spindle organization	0.04412293888675952	Gmax
succinyl-CoA metabolic process	0.04412293888675952	Gmax
aerobic respiration	0.04746585183481546	Gmax
production of siRNA involved in RNA interference	0.04746585183481546	Gmax
DNA biosynthetic process	0.0485954087974364	Gmax
Proteasome, subunit alpha/beta	5.371232810551772e-30	Gmax
Chaperonin TCP-1, conserved site	5.857832634923876e-26	Gmax
Nucleophile aminohydrolases, N-terminal	1.9503332181939413e-25	Gmax
AAA+ ATPase domain	2.4956065829906025e-25	Gmax
GroEL-like equatorial domain superfamily	3.9666395141690154e-23	Gmax
Phospholipase D/Transphosphatidylase	9.950748596436568e-23	Gmax
P-loop containing nucleoside triphosphate hydrolase	1.9137098599708265e-22	Gmax
TCP-1-like chaperonin intermediate domain superfamily	2.5961699968173753e-22	Gmax
Glycosyl transferase, family 20	8.22981558391103e-22	Gmax
Phospholipase D, C-terminal	3.672307844008637e-21	Gmax
ATPase, nucleotide binding domain	3.672307844008637e-21	Gmax
Chaperone tailless complex polypeptide 1 (TCP-1)	3.672307844008637e-21	Gmax
MCM domain	8.161135124578398e-21	Gmax
Chaperonin Cpn60/GroEL/TCP-1 family	1.0892949293768932e-20	Gmax
Phospholipase D family	1.800130781540442e-20	Gmax
Mini-chromosome maintenance protein	5.794956751605738e-20	Gmax
Glycosyl hydrolases family 1, N-terminal conserved site	8.306884465584665e-20	Gmax
GroEL-like apical domain superfamily	1.6211369816790606e-19	Gmax
MCM OB domain	1.6211369816790606e-19	Gmax
Phospholipase D, plant	1.6211369816790606e-19	Gmax
Copper amine oxidase, N-terminal	2.943669750148635e-19	Gmax
Copper amine oxidase, N2-terminal	2.943669750148635e-19	Gmax
Copper amine oxidase, N3-terminal	2.943669750148635e-19	Gmax
ClpP/crotonase-like domain superfamily	1.5495352855560443e-18	Gmax
Glycoside hydrolase family 1	1.5495352855560443e-18	Gmax
Phospholipid/glycerol acyltransferase	2.630619795273604e-18	Gmax
Proteasome alpha-type subunit	4.181825468947559e-18	Gmax
Long-chain fatty acid CoA synthetase, eukaryotic	7.840448011810599e-18	Gmax
Proteasome alpha-subunit, N-terminal domain	1.3862490410733932e-17	Gmax
Copper amine oxidase	2.394956794615209e-17	Gmax
Copper amine oxidase, catalytic domain	2.394956794615209e-17	Gmax
Copper amine oxidase, catalytic domain superfamily	2.394956794615209e-17	Gmax
MCM, AAA-lid domain	9.046787560910022e-17	Gmax
MCM N-terminal domain	2.0922907698100734e-16	Gmax
Phosphoribosyltransferase domain	6.81831340316023e-16	Gmax
Cellulose synthase, RING-type zinc finger	7.068421704992401e-16	Gmax
Pyridoxal phosphate-dependent transferase	7.42955058162392e-16	Gmax
Helicase superfamily 1/2, ATP-binding domain	8.522650165408728e-16	Gmax
Pyridoxal phosphate-dependent transferase, major domain	1.0067832883213704e-15	Gmax
Helicase, C-terminal	1.3225653009862086e-15	Gmax
Homogentisate solanesyltransferase  AtHST-like	2.1391633688961264e-15	Gmax
Mini-chromosome maintenance, conserved site	2.1391633688961264e-15	Gmax
Hexokinase, N-terminal	2.6204007748075373e-15	Gmax
26S proteasome regulatory subunit P45-like	5.006267543785135e-15	Gmax
Flavin amine oxidase	5.1193018212475905e-15	Gmax
Hexokinase	9.897231441695556e-15	Gmax
Hexokinase, C-terminal	9.897231441695556e-15	Gmax
CRA domain	1.2725567557696475e-14	Gmax
Trehalose-phosphatase	1.2725567557696475e-14	Gmax
Actin family	5.707708221866055e-14	Gmax
Phosphoinositide phospholipase C family	5.707708221866055e-14	Gmax
Phospholipase C, phosphatidylinositol-specific, Y domain	5.707708221866055e-14	Gmax
ATP-dependent Clp protease proteolytic subunit	9.441014522472243e-14	Gmax
Histidine kinase/HSP90-like ATPase superfamily	1.4624153419287927e-13	Gmax
CTLH/CRA C-terminal to LisH motif domain	1.9886209312984935e-13	Gmax
Polyphenol oxidase, central domain	1.9886209312984935e-13	Gmax
Proteasome B-type subunit	1.9886209312984935e-13	Gmax
Tyrosinase copper-binding domain	1.9886209312984935e-13	Gmax
Phosphoribosyltransferase-like	2.5064997022223536e-13	Gmax
Polyphenol oxidase	2.8276611280372295e-13	Gmax
AMP-dependent synthetase/ligase	4.4024219702836295e-13	Gmax
ANL, N-terminal domain	4.4024219702836295e-13	Gmax
Clp protease proteolytic subunit /Translocation-enhancing protein TepA	5.620827406617701e-13	Gmax
Di-copper centre-containing domain superfamily	5.861414932089638e-13	Gmax
Phosphatidylinositol-specific phospholipase C, X domain	5.861414932089638e-13	Gmax
Fructose-bisphosphate aldolase class-I active site	1.1482712410606596e-12	Gmax
Fructose-bisphosphate aldolase, class-I	1.1482712410606596e-12	Gmax
UbiA prenyltransferase superfamily	1.2365371359686135e-12	Gmax
Polyphenol oxidase, C-terminal	1.6093366675794853e-12	Gmax
Aldolase-type TIM barrel	2.3810661314685086e-12	Gmax
Glutamate/phenylalanine/leucine/valine dehydrogenase	3.3488588758049878e-12	Gmax
Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain	3.3488588758049878e-12	Gmax
Proteasomal ATPase OB C-terminal domain	4.01134152413654e-12	Gmax
Pyridoxal phosphate-dependent transferase, small domain	4.219700731128595e-12	Gmax
AMP-binding, conserved site	5.1207935917815746e-12	Gmax
Cellulose synthase	1.1063898835189349e-11	Gmax
C2 domain	1.95831394834668e-11	Gmax
Proteasome beta-type subunit, conserved site	2.47793743508725e-11	Gmax
Serine hydroxymethyltransferase, pyridoxal phosphate binding site	2.47793743508725e-11	Gmax
RecF/RecN/SMC, N-terminal	2.930100697780935e-11	Gmax
Chloramphenicol acetyltransferase-like domain superfamily	3.2026409909016796e-11	Gmax
DEAD/DEAH box helicase domain	3.2026409909016796e-11	Gmax
UbiA prenyltransferase family	6.4074198536205e-11	Gmax
Glycoside hydrolase family 27/36, conserved site	8.290594471813388e-11	Gmax
Inositol 1,3,4-trisphosphate 5/6-kinase, ATP-grasp domain	8.290594471813388e-11	Gmax
Inositol-tetrakisphosphate 1-kinase	8.290594471813388e-11	Gmax
Inositol-tetrakisphosphate 1-kinase, N-terminal	8.290594471813388e-11	Gmax
Structural maintenance of chromosomes protein	8.290594471813388e-11	Gmax
Thiolase	8.290594471813388e-11	Gmax
Thiolase, active site	8.290594471813388e-11	Gmax
Thiolase, C-terminal	8.290594471813388e-11	Gmax
Thiolase, conserved site	8.290594471813388e-11	Gmax
Thiolase, N-terminal	8.290594471813388e-11	Gmax
Vernalization insensitive 3-like	8.290594471813388e-11	Gmax
Citrate synthase	1.2660375331790324e-10	Gmax
Citrate synthase superfamily	1.2660375331790324e-10	Gmax
Citrate synthase-like, small alpha subdomain	1.2660375331790324e-10	Gmax
Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	1.2660375331790324e-10	Gmax
Phosphatidylinositol 3/4-kinase, conserved site	1.2660375331790324e-10	Gmax
ATPase, AAA-type, core	1.7709131214378766e-10	Gmax
Histidine kinase/HSP90-like ATPase	2.2923354793269203e-10	Gmax
HAD-superfamily hydrolase, subfamily IIB	4.3076233846058157e-10	Gmax
Malate dehydrogenase, active site	4.732106108394697e-10	Gmax
Chlorophyll A-B binding protein, plant and chromista	4.73875889132687e-10	Gmax
Starch synthase, catalytic domain	4.792883675201489e-10	Gmax
C2 domain superfamily	1.03334451156455e-9	Gmax
Pyridoxal phosphate-dependent decarboxylase	1.0701796378149343e-9	Gmax
Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	1.0701796378149343e-9	Gmax
Lactate/malate dehydrogenase, C-terminal	1.0701796378149343e-9	Gmax
Lactate/malate dehydrogenase, N-terminal	1.0701796378149343e-9	Gmax
Serine hydroxymethyltransferase	1.0701796378149343e-9	Gmax
SMCs flexible hinge superfamily	1.3750242695325438e-9	Gmax
Glycoside hydrolase superfamily	1.6285196383837269e-9	Gmax
Chlorophyll A-B binding protein	1.9994920380358994e-9	Gmax
Delta l-pyrroline-5-carboxylate synthetase	2.063283431876596e-9	Gmax
Glutamate 5-kinase, conserved site	2.063283431876596e-9	Gmax
Glutamate 5-kinase/delta-1-pyrroline-5-carboxylate synthase	2.063283431876596e-9	Gmax
Glutamate dehydrogenase	2.063283431876596e-9	Gmax
GPR domain	2.063283431876596e-9	Gmax
Leu/Phe/Val dehydrogenases active site	2.063283431876596e-9	Gmax
NAD(P) binding domain of glutamate dehydrogenase	2.063283431876596e-9	Gmax
Pyruvate dehydrogenase E1 component subunit beta	2.063283431876596e-9	Gmax
Citrate synthase-like, large alpha subdomain	2.6533688828999164e-9	Gmax
Glutamate decarboxylase	2.6533688828999164e-9	Gmax
SMCs flexible hinge	2.6533688828999164e-9	Gmax
NAD(P)-binding domain superfamily	3.016246517858582e-9	Gmax
Pyruvate carboxyltransferase	3.300953701497274e-9	Gmax
Transferase	3.3311819544048355e-9	Gmax
Serine hydroxymethyltransferase-like domain	4.1321620920084466e-9	Gmax
Glycoside hydrolase family 1, active site	7.970855257842986e-9	Gmax
PAZ domain	8.836981443330448e-9	Gmax
ClpP, histidine active site	8.892511381853664e-9	Gmax
Phospholipase D-like domain	8.892511381853664e-9	Gmax
LSM domain, eukaryotic/archaea-type	1.2815711282915022e-8	Gmax
Glycoside hydrolase family 3 C-terminal domain	1.370078683837084e-8	Gmax
Glycoside hydrolase family 3 C-terminal domain superfamily	1.370078683837084e-8	Gmax
Glycoside hydrolase, family 3, N-terminal	1.370078683837084e-8	Gmax
3-hydroxyacyl-CoA dehydrogenase, NAD binding	1.370078683837084e-8	Gmax
Branched-chain amino acid aminotransferase II	1.370078683837084e-8	Gmax
Branched-chain aminotransferase	1.370078683837084e-8	Gmax
