TermID	genes	all	pval	padj	Class	Mode	Motif	Peak	Species
RNA polymerase, RBP11-like subunit	4	7	3.4385824742344037e-05	0.006412956314447163	InterPro	SSD	bifan	peak1	Athaliana
Cysteine-rich and transmembrane domain-containing protein WIH1/2-like	5	13	3.522242466440589e-5	0.00644017862736441	InterPro	SSD	bifan	peak1	Athaliana
Tubulin/FtsZ-like, C-terminal domain	6	21	3.8846880646327414e-5	0.006834852113717041	InterPro	SSD	bifan	peak1	Athaliana
Tubulin/FtsZ, GTPase domain	6	21	3.8846880646327414e-5	0.006834852113717041	InterPro	SSD	bifan	peak1	Athaliana
Receptor-like kinase WAK-like	6	22	5.196860087761187e-5	0.008811040057886011	InterPro	SSD	bifan	peak1	Athaliana
Tubulin/FtsZ, GTPase domain superfamily	6	22	5.196860087761187e-5	0.008811040057886011	InterPro	SSD	bifan	peak1	Athaliana
Purine permease, plant	5	14	5.334250869237596e-5	0.008882480242078675	InterPro	SSD	bifan	peak1	Athaliana
O-methyltransferase COMT-type	4	8	6.701889973430688e-5	0.010415854000373526	InterPro	SSD	bifan	peak1	Athaliana
O-methyltransferase domain	4	8	6.701889973430688e-5	0.010415854000373526	InterPro	SSD	bifan	peak1	Athaliana
Plant methyltransferase dimerisation	4	8	6.701889973430688e-5	0.010415854000373526	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein L12/P1/P2 family	4	8	6.701889973430688e-5	0.010415854000373526	InterPro	SSD	bifan	peak1	Athaliana
Glutaredoxin subgroup	5	16	1.1032060786765911e-4	0.016592575296224536	InterPro	SSD	bifan	peak1	Athaliana
Glutaredoxin-like, plant II	5	16	1.1032060786765911e-4	0.016592575296224536	InterPro	SSD	bifan	peak1	Athaliana
Knottin, scorpion toxin-like	4	9	1.1756276062135077e-4	0.01712926160615775	InterPro	SSD	bifan	peak1	Athaliana
Knottin, scorpion toxin-like superfamily	4	9	1.1756276062135077e-4	0.01712926160615775	InterPro	SSD	bifan	peak1	Athaliana
Nucleic acid binding NABP	3	4	1.2946896180773685e-4	0.018573816443956094	InterPro	SSD	bifan	peak1	Athaliana
S-locus receptor kinase, C-terminal	5	17	1.5216698014618632e-4	0.02149934984641193	InterPro	SSD	bifan	peak1	Athaliana
Nucleotide-diphospho-sugar transferase	4	10	1.9095485263741717e-4	0.026186088247704634	InterPro	SSD	bifan	peak1	Athaliana
Virus X resistance protein-like, coiled-coil domain	4	10	1.9095485263741717e-4	0.026186088247704634	InterPro	SSD	bifan	peak1	Athaliana
F-box-like domain superfamily	18	214	2.0082099757017782e-4	0.02713993916437548	InterPro	SSD	bifan	peak1	Athaliana
PWWP domain	5	18	2.051421631324508e-4	0.027327866731572913	InterPro	SSD	bifan	peak1	Athaliana
Translation protein, beta-barrel domain superfamily	7	39	2.1630084184184707e-4	0.02840852605880597	InterPro	SSD	bifan	peak1	Athaliana
Rx, N-terminal	4	11	2.924487630462607e-4	0.0378761766028664	InterPro	SSD	bifan	peak1	Athaliana
Translation initiation factor IF- 2	3	5	3.159129169486767e-4	0.03927850600728547	InterPro	SSD	bifan	peak1	Athaliana
Translation initiation factor IF- 2, domain 3	3	5	3.159129169486767e-4	0.03927850600728547	InterPro	SSD	bifan	peak1	Athaliana
Translation initiation factor IF-2, domain 3 superfamily	3	5	3.159129169486767e-4	0.03927850600728547	InterPro	SSD	bifan	peak1	Athaliana
Translation protein SH3-like domain superfamily	6	31	4.008985782789411e-4	0.049189200558567445	InterPro	SSD	bifan	peak1	Athaliana
'de novo' GDP-L-fucose biosynthetic process	2	3	8.863677569544064e-6	0.03416770315610196	GOBP	WGD	bifan	peak2	Athaliana
nucleotide-sugar biosynthetic process	2	4	1.770806071837365e-5	0.03416770315610196	GOBP	WGD	bifan	peak2	Athaliana
GDP-L-fucose synthase activity	2	2	2.9577787285733183e-6	0.008104313716290891	GOMF	WGD	bifan	peak2	Athaliana
FCS-Like Zinc finger 8/MARD1	2	2	2.9577787285733183e-6	0.013790643321973096	InterPro	WGD	bifan	peak2	Athaliana
GDP-L-fucose synthase/GDP-L-colitose synthase	2	2	2.9577787285733183e-6	0.013790643321973096	InterPro	WGD	bifan	peak2	Athaliana
Putative nuclear localisation signal	2	3	8.863677569544064e-6	0.0275512644453328	InterPro	WGD	bifan	peak2	Athaliana
Ethylene-responsive binding factor-associated repression	2	4	1.770806071837365e-5	0.04128191654970857	InterPro	WGD	bifan	peak2	Athaliana
Ninja family	2	5	2.9481315136041483e-5	0.04576901732673	InterPro	WGD	bifan	peak2	Athaliana
SKP1 component, POZ domain	2	5	2.9481315136041483e-5	0.04576901732673	InterPro	WGD	bifan	peak2	Athaliana
S-phase kinase-associated protein 1	2	6	4.417385050301019e-5	0.04576901732673	InterPro	WGD	bifan	peak2	Athaliana
SKP1 component, dimerisation	2	6	4.417385050301019e-5	0.04576901732673	InterPro	WGD	bifan	peak2	Athaliana
SKP1-like, dimerisation domain superfamily	2	6	4.417385050301019e-5	0.04576901732673	InterPro	WGD	bifan	peak2	Athaliana
NAC	49	59	1.4109199439327005e-4	0.0025146564446291097	Family	SSD	bifan	peak2	Athaliana
bHLH	70	89	1.5582154433642698e-4	0.0025146564446291097	Family	SSD	bifan	peak2	Athaliana
G2-like	32	36	1.7145384849743932e-4	0.0025146564446291097	Family	SSD	bifan	peak2	Athaliana
ERF	61	79	0.0010778999681812173	0.010998709551440762	Family	SSD	bifan	peak2	Athaliana
WRKY	37	45	0.001480517982792114	0.010998709551440762	Family	SSD	bifan	peak2	Athaliana
ZF-HD	13	13	0.0014998240297419221	0.010998709551440762	Family	SSD	bifan	peak2	Athaliana
TCP	16	17	0.002423525111922391	0.015233586417797885	Family	SSD	bifan	peak2	Athaliana
MYB	48	63	0.006194589541825586	0.03320410197533614	Family	SSD	bifan	peak2	Athaliana
NF-YA	10	10	0.006791748131318755	0.03320410197533614	Family	SSD	bifan	peak2	Athaliana
protein ubiquitination	227	571	4.814442791487857e-28	1.857893473235164e-24	GOBP	SSD	bifan	peak2	Athaliana
ubiquitin-dependent protein catabolic process	90	193	7.37433085057149e-17	1.422877137617769e-13	GOBP	SSD	bifan	peak2	Athaliana
protein peptidyl-prolyl isomerization	31	38	6.4063408389464975e-16	8.24068976583151e-13	GOBP	SSD	bifan	peak2	Athaliana
photosynthesis, light harvesting	19	21	7.699485879745876e-12	5.276919884013598e-9	GOBP	SSD	bifan	peak2	Athaliana
photosynthesis, light harvesting in photosystem I	19	21	7.699485879745876e-12	5.276919884013598e-9	GOBP	SSD	bifan	peak2	Athaliana
cellular oxidant detoxification	49	95	8.204591682840527e-12	5.276919884013598e-9	GOBP	SSD	bifan	peak2	Athaliana
protein polyubiquitination	37	66	1.2491101153054817e-10	6.886165621376935e-8	GOBP	SSD	bifan	peak2	Athaliana
hydrogen peroxide catabolic process	28	44	3.898908240236985e-10	1.8807358623843157e-7	GOBP	SSD	bifan	peak2	Athaliana
proteasomal protein catabolic process	21	28	6.028361951607504e-10	2.584827641250373e-7	GOBP	SSD	bifan	peak2	Athaliana
cellular glucan metabolic process	20	27	2.2669308413766438e-9	8.748086116872468e-7	GOBP	SSD	bifan	peak2	Athaliana
response to auxin	63	166	7.658603579073038e-8	2.5255364494190958e-5	GOBP	SSD	bifan	peak2	Athaliana
glutathione metabolic process	29	55	7.853443221826678e-8	2.5255364494190958e-5	GOBP	SSD	bifan	peak2	Athaliana
cell wall biogenesis	25	44	8.870178033110053e-8	2.633078233059361e-5	GOBP	SSD	bifan	peak2	Athaliana
toxin catabolic process	21	34	1.3328643360622786e-7	3.673945337760238e-5	GOBP	SSD	bifan	peak2	Athaliana
proteolysis involved in cellular protein catabolic process	27	53	5.464536322308362e-7	1.4058430445191978e-4	GOBP	SSD	bifan	peak2	Athaliana
response to oxidative stress	72	209	7.96815297649141e-7	1.921818896017522e-4	GOBP	SSD	bifan	peak2	Athaliana
cell wall macromolecule catabolic process	10	11	9.625958117033502e-7	1.9550827565069622e-4	GOBP	SSD	bifan	peak2	Athaliana
establishment or maintenance of cell polarity	10	11	9.625958117033502e-7	1.9550827565069622e-4	GOBP	SSD	bifan	peak2	Athaliana
modification-dependent protein catabolic process	10	11	9.625958117033502e-7	1.9550827565069622e-4	GOBP	SSD	bifan	peak2	Athaliana
protein localization	16	25	2.1817771936365382e-6	4.2097390951217005e-4	GOBP	SSD	bifan	peak2	Athaliana
protein dephosphorylation	32	73	3.5661076717261233e-6	6.553147383424338e-4	GOBP	SSD	bifan	peak2	Athaliana
response to toxic substance	25	54	1.279837493455173e-5	0.0021864222699810847	GOBP	SSD	bifan	peak2	Athaliana
cysteine biosynthetic process from serine	11	15	1.3031280696959042e-5	0.0021864222699810847	GOBP	SSD	bifan	peak2	Athaliana
cysteine biosynthetic process	15	25	1.429662268713588e-5	0.0022987777895690565	GOBP	SSD	bifan	peak2	Athaliana
G1/S transition of mitotic cell cycle	8	9	1.964729580284061e-5	0.002715679809496386	GOBP	SSD	bifan	peak2	Athaliana
rRNA catabolic process	8	9	1.964729580284061e-5	0.002715679809496386	GOBP	SSD	bifan	peak2	Athaliana
chitin catabolic process	9	11	1.9704336529126407e-5	0.002715679809496386	GOBP	SSD	bifan	peak2	Athaliana
peptidyl-serine dephosphorylation	9	11	1.9704336529126407e-5	0.002715679809496386	GOBP	SSD	bifan	peak2	Athaliana
xyloglucan metabolic process	18	34	2.164486096856565e-5	0.0028802592578515457	GOBP	SSD	bifan	peak2	Athaliana
protein-chromophore linkage	23	50	3.2093404181217296e-5	0.004128281557843918	GOBP	SSD	bifan	peak2	Athaliana
anatomical structure morphogenesis	13	21	3.407972493602726e-5	0.004242376081552555	GOBP	SSD	bifan	peak2	Athaliana
cortical cytoskeleton organization	10	14	4.799479825381133e-5	0.005447409601807587	GOBP	SSD	bifan	peak2	Athaliana
nucleoside monophosphate phosphorylation	10	14	4.799479825381133e-5	0.005447409601807587	GOBP	SSD	bifan	peak2	Athaliana
positive regulation of catalytic activity	10	14	4.799479825381133e-5	0.005447409601807587	GOBP	SSD	bifan	peak2	Athaliana
plant-type cell wall organization	17	33	5.7954184618378346e-5	0.006389862812637772	GOBP	SSD	bifan	peak2	Athaliana
polyamine biosynthetic process	9	12	6.464515003473247e-5	0.006692736786068891	GOBP	SSD	bifan	peak2	Athaliana
regulation of actin cytoskeleton organization	9	12	6.464515003473247e-5	0.006692736786068891	GOBP	SSD	bifan	peak2	Athaliana
spermine biosynthetic process	6	6	6.590411968660737e-5	0.006692736786068891	GOBP	SSD	bifan	peak2	Athaliana
endoplasmic reticulum membrane organization	8	10	8.075573888199078e-5	0.007600887715746401	GOBP	SSD	bifan	peak2	Athaliana
protein retention in ER lumen	8	10	8.075573888199078e-5	0.007600887715746401	GOBP	SSD	bifan	peak2	Athaliana
