TermID	genes	all	pval	padj	Class	Mode	Motif	Species
Ribosomal protein L5	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
Ribosomal protein L5 domain superfamily	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
Ribosomal protein L5, C-terminal	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
Ribosomal protein L5, conserved site	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
Ribosomal protein L5, N-terminal	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
V-ATPase proteolipid subunit C, eukaryotic	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
Actin/actin-like conserved site	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Histone deacetylase interacting domain	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Histone-binding protein RBBP4, N-terminal	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Nucleoside phosphatase GDA1/CD39	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Ribosomal protein S8	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Ribosomal protein S8 superfamily	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
S-phase kinase-associated protein 1	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Sin3, C-terminal	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
SKP1 component, dimerisation	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
SKP1-like, dimerisation domain superfamily	4	6	6.73116552473615e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Translation protein SH3-like domain superfamily	8	31	6.906937874001706e-5	0.026836331531277464	InterPro	WGD	bifan	Athaliana
Small GTPase	12	70	9.210890417530035e-5	0.03435662125738703	InterPro	WGD	bifan	Athaliana
PWWP domain	6	18	1.2064510157543596e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Actin, conserved site	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Alfin	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Alfin, N-terminal	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Alfin1-like, PHD finger	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Glyceraldehyde 3-phosphate dehydrogenase, active site	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Glyceraldehyde-3-phosphate dehydrogenase, type I	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Glyceraldehyde/Erythrose phosphate dehydrogenase family	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
Protein of unknown function DUF868, plant	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
S-phase kinase-associated protein 1-like	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
V-ATPase proteolipid subunit	4	7	1.5120224894277174e-4	0.037104236089245964	InterPro	WGD	bifan	Athaliana
NAC	53	59	2.628291137943676e-6	1.1564481006952174e-4	Family	SSD	bifan	Athaliana
G2-like	32	36	5.242970496482335e-4	0.011534535092261137	Family	SSD	bifan	Athaliana
bHLH	70	89	9.744941956116406e-4	0.014292581535637396	Family	SSD	bifan	Athaliana
WRKY	38	45	0.0014360930267728249	0.015797023294501073	Family	SSD	bifan	Athaliana
ERF	62	79	0.002172753161230482	0.0190238070323057	Family	SSD	bifan	Athaliana
ZF-HD	13	13	0.002594155504405323	0.0190238070323057	Family	SSD	bifan	Athaliana
TCP	16	17	0.00449160755352894	0.028232961765039047	Family	SSD	bifan	Athaliana
protein ubiquitination	239	571	7.024671908859915e-25	2.710820889629041e-21	GOBP	SSD	bifan	Athaliana
protein peptidyl-prolyl isomerization	31	38	2.7233133674196494e-14	5.2546331424362134e-11	GOBP	SSD	bifan	Athaliana
ubiquitin-dependent protein catabolic process	91	193	8.078664765435544e-14	1.0391855776605255e-10	GOBP	SSD	bifan	Athaliana
cellular oxidant detoxification	51	95	6.477218305391968e-11	5.311192908649985e-8	GOBP	SSD	bifan	Athaliana
photosynthesis, light harvesting	19	21	8.257879619564631e-11	5.311192908649985e-8	GOBP	SSD	bifan	Athaliana
photosynthesis, light harvesting in photosystem I	19	21	8.257879619564631e-11	5.311192908649985e-8	GOBP	SSD	bifan	Athaliana
protein polyubiquitination	39	66	2.525476819910776e-10	1.3922592925765264e-7	GOBP	SSD	bifan	Athaliana
response to auxin	73	166	1.1936813218874732e-9	5.758020276454699e-7	GOBP	SSD	bifan	Athaliana
proteasomal protein catabolic process	21	28	7.09539639735572e-9	3.042348299710636e-6	GOBP	SSD	bifan	Athaliana
hydrogen peroxide catabolic process	28	44	8.359871753470008e-9	3.2260745096640756e-6	GOBP	SSD	bifan	Athaliana
cellular glucan metabolic process	20	27	2.347707348936684e-8	8.236184235951512e-6	GOBP	SSD	bifan	Athaliana
defense response	204	641	6.78251154422221e-8	2.1811426707627923e-5	GOBP	SSD	bifan	Athaliana
proteolysis involved in cellular protein catabolic process	29	53	4.926726755417554e-7	1.462479888396642e-4	GOBP	SSD	bifan	Athaliana
cell wall biogenesis	25	44	1.1756531221194124e-6	3.077865758385737e-4	GOBP	SSD	bifan	Athaliana
developmental process	28	52	1.1963717640784157e-6	3.077865758385737e-4	GOBP	SSD	bifan	Athaliana
toxin catabolic process	21	34	1.2906780413155664e-6	3.1129541008979817e-4	GOBP	SSD	bifan	Athaliana
glutathione metabolic process	29	55	1.3770403995289558e-6	3.1258817069307294e-4	GOBP	SSD	bifan	Athaliana
response to oxidative stress	78	209	1.507390377012888e-6	3.2316774804959635e-4	GOBP	SSD	bifan	Athaliana
cell wall macromolecule catabolic process	10	11	3.361855230802841e-6	5.904832073168291e-4	GOBP	SSD	bifan	Athaliana
establishment or maintenance of cell polarity	10	11	3.361855230802841e-6	5.904832073168291e-4	GOBP	SSD	bifan	Athaliana
modification-dependent protein catabolic process	10	11	3.361855230802841e-6	5.904832073168291e-4	GOBP	SSD	bifan	Athaliana
DNA-templated transcription, termination	22	38	3.3663204355973674e-6	5.904832073168291e-4	GOBP	SSD	bifan	Athaliana
protein-chromophore linkage	26	50	6.729862821732296e-6	0.0010846313473873428	GOBP	SSD	bifan	Athaliana
protein dephosphorylation	34	73	6.745569405881375e-6	0.0010846313473873428	GOBP	SSD	bifan	Athaliana
protein localization	16	25	1.2724757945344109e-5	0.001964193636443317	GOBP	SSD	bifan	Athaliana
intracellular protein transport	72	201	1.943327265391196e-5	0.002884346121978702	GOBP	SSD	bifan	Athaliana
auxin-activated signaling pathway	58	155	2.882327931732297e-5	0.004119593884649975	GOBP	SSD	bifan	Athaliana
regulation of transcription, DNA-templated	116	362	3.201356388830388e-5	0.004412155108748739	GOBP	SSD	bifan	Athaliana
cysteine biosynthetic process from serine	11	15	4.712307798850146e-5	0.006270619239918177	GOBP	SSD	bifan	Athaliana
G1/S transition of mitotic cell cycle	8	9	5.313301969045346e-5	0.0066142039672729	GOBP	SSD	bifan	Athaliana
rRNA catabolic process	8	9	5.313301969045346e-5	0.0066142039672729	GOBP	SSD	bifan	Athaliana
chitin catabolic process	9	11	5.8736068578710034e-5	0.0068685602619770305	GOBP	SSD	bifan	Athaliana
peptidyl-serine dephosphorylation	9	11	5.8736068578710034e-5	0.0068685602619770305	GOBP	SSD	bifan	Athaliana
cellular response to hypoxia	67	190	6.48260177990167e-5	0.007357753020188396	GOBP	SSD	bifan	Athaliana
cysteine biosynthetic process	15	25	7.118223046548648e-5	0.007848349353323208	GOBP	SSD	bifan	Athaliana
response to toxic substance	25	54	1.2282034052495667e-4	0.013165658169050217	GOBP	SSD	bifan	Athaliana
xyloglucan metabolic process	18	34	1.3025211144935975e-4	0.013584943191434573	GOBP	SSD	bifan	Athaliana
anatomical structure morphogenesis	13	21	1.402847768399939e-4	0.013718983137530522	GOBP	SSD	bifan	Athaliana
spermine biosynthetic process	6	6	1.421336698333718e-4	0.013718983137530522	GOBP	SSD	bifan	Athaliana
regulation of cyclin-dependent protein serine/threonine kinase activity	19	37	1.4507688106878136e-4	0.013718983137530522	GOBP	SSD	bifan	Athaliana
cortical cytoskeleton organization	10	14	1.5286765351485163e-4	0.013718983137530522	GOBP	SSD	bifan	Athaliana
nucleoside monophosphate phosphorylation	10	14	1.5286765351485163e-4	0.013718983137530522	GOBP	SSD	bifan	Athaliana
positive regulation of catalytic activity	10	14	1.5286765351485163e-4	0.013718983137530522	GOBP	SSD	bifan	Athaliana
vesicle-mediated transport	76	228	1.7949650590887256e-4	0.015683722214510327	GOBP	SSD	bifan	Athaliana
polyamine biosynthetic process	9	12	1.8695289501618944e-4	0.015683722214510327	GOBP	SSD	bifan	Athaliana
regulation of actin cytoskeleton organization	9	12	1.8695289501618944e-4	0.015683722214510327	GOBP	SSD	bifan	Athaliana
endoplasmic reticulum membrane organization	8	10	2.1194552236694154e-4	0.0166917912411026	GOBP	SSD	bifan	Athaliana
protein retention in ER lumen	8	10	2.1194552236694154e-4	0.0166917912411026	GOBP	SSD	bifan	Athaliana
response to low light intensity stimulus	8	10	2.1194552236694154e-4	0.0166917912411026	GOBP	SSD	bifan	Athaliana
plant-type cell wall organization	17	33	3.075710947570637e-4	0.02373833709335018	GOBP	SSD	bifan	Athaliana
cytidine to uridine editing	12	20	3.8619359070136944e-4	0.029221981696403623	GOBP	SSD	bifan	Athaliana
cellular response to oxidative stress	19	40	5.253926662468949e-4	0.038990198058591684	GOBP	SSD	bifan	Athaliana
protein modification by small protein removal	8	11	6.205040658022271e-4	0.04214324232723523	GOBP	SSD	bifan	Athaliana
regulation of mRNA splicing, via spliceosome	8	11	6.205040658022271e-4	0.04214324232723523	GOBP	SSD	bifan	Athaliana
detection of hypoxia	5	5	6.224837555461021e-4	0.04214324232723523	GOBP	SSD	bifan	Athaliana
peptidyl-cysteine oxidation	5	5	6.224837555461021e-4	0.04214324232723523	GOBP	SSD	bifan	Athaliana
S-adenosylmethioninamine biosynthetic process	5	5	6.224837555461021e-4	0.04214324232723523	GOBP	SSD	bifan	Athaliana
spermidine biosynthetic process	7	9	7.488559741704838e-4	0.049018556093342214	GOBP	SSD	bifan	Athaliana
small GTPase mediated signal transduction	10	16	7.724385494063492e-4	0.049018556093342214	GOBP	SSD	bifan	Athaliana
gibberellin mediated signaling pathway	6	7	8.002511101012074e-4	0.049018556093342214	GOBP	SSD	bifan	Athaliana
guard mother cell differentiation	6	7	8.002511101012074e-4	0.049018556093342214	GOBP	SSD	bifan	Athaliana
protein desumoylation	6	7	8.002511101012074e-4	0.049018556093342214	GOBP	SSD	bifan	Athaliana
S-adenosyl-L-methionine transmembrane transport	6	7	8.002511101012074e-4	0.049018556093342214	GOBP	SSD	bifan	Athaliana
GTPase activity	98	174	1.0997052309641052e-21	3.013192332841648e-18	GOMF	SSD	bifan	Athaliana
GTP binding	114	240	2.945299391295739e-17	4.035060166075162e-14	GOMF	SSD	bifan	Athaliana
peptidyl-prolyl cis-trans isomerase activity	43	58	1.5968986396281777e-16	1.4585007575270692e-13	GOMF	SSD	bifan	Athaliana
glutathione oxidoreductase activity	32	37	3.5060685196560266e-16	2.401656935964378e-13	GOMF	SSD	bifan	Athaliana
ubiquitin conjugating enzyme activity	29	36	3.5016361332044983e-13	1.918896600996065e-10	GOMF	SSD	bifan	Athaliana
metal ion binding	628	2185	4.191085894948883e-12	1.91392922535999e-9	GOMF	SSD	bifan	Athaliana
peroxidase activity	42	68	6.667680733719032e-12	2.60992074434145e-9	GOMF	SSD	bifan	Athaliana
cyclosporin A binding	15	15	2.3766300495021555e-10	8.139957919544882e-8	GOMF	SSD	bifan	Athaliana
phosphoprotein phosphatase activity	64	136	4.2332163397261044e-10	1.2352545344083514e-7	GOMF	SSD	bifan	Athaliana
ADP binding	56	113	4.508228227767706e-10	1.2352545344083514e-7	GOMF	SSD	bifan	Athaliana
ubiquitin-protein transferase activity	92	226	1.274969120293886e-9	3.1758321723684067e-7	GOMF	SSD	bifan	Athaliana
structural constituent of chromatin	31	49	1.6347490071884492e-9	3.732676899746959e-7	GOMF	SSD	bifan	Athaliana
xyloglucan:xyloglucosyl transferase activity	18	21	1.8042318329949044e-9	3.8027655556969526e-7	GOMF	SSD	bifan	Athaliana
isomerase activity	91	225	2.312100867038602e-9	4.5251116969184065e-7	GOMF	SSD	bifan	Athaliana
ubiquitin protein ligase activity	78	185	3.483784335759688e-9	6.363712719987697e-7	GOMF	SSD	bifan	Athaliana
myosin phosphatase activity	51	104	4.241015364614563e-9	7.204114847221294e-7	GOMF	SSD	bifan	Athaliana
protein serine/threonine phosphatase activity	52	107	4.469706292071606e-9	7.204114847221294e-7	GOMF	SSD	bifan	Athaliana
polysaccharide binding	28	49	2.289066416737075e-7	3.4844677676997696e-5	GOMF	SSD	bifan	Athaliana
chlorophyll binding	21	32	2.9179581725004886e-7	4.208002838237547e-5	GOMF	SSD	bifan	Athaliana
mRNA binding	270	908	4.937806211756293e-7	6.764794510106121e-5	GOMF	SSD	bifan	Athaliana
enzyme activator activity	12	15	4.497323817484381e-6	5.867936790432002e-4	GOMF	SSD	bifan	Athaliana
protein heterodimerization activity	37	81	4.7549145356567986e-6	5.922029921681649e-4	GOMF	SSD	bifan	Athaliana
glutathione transferase activity	25	47	5.948749324868704e-6	7.086770934843587e-4	GOMF	SSD	bifan	Athaliana
alditol:NADP+ 1-oxidoreductase activity	8	8	7.40590251769189e-6	8.11686915939031e-4	GOMF	SSD	bifan	Athaliana
phosphorelay response regulator activity	8	8	7.40590251769189e-6	8.11686915939031e-4	GOMF	SSD	bifan	Athaliana
nucleobase-containing compound kinase activity	9	10	1.3429894021331409e-5	0.001415304216094156	GOMF	SSD	bifan	Athaliana
kinase binding	21	40	4.267624232106603e-5	0.0043308482948044786	GOMF	SSD	bifan	Athaliana
adenylate kinase activity	8	9	5.313301969045346e-5	0.0050907684611061835	GOMF	SSD	bifan	Athaliana
cyclin-dependent protein serine/threonine kinase regulator activity	19	35	5.388039612119684e-5	0.0050907684611061835	GOMF	SSD	bifan	Athaliana
chitinase activity	9	11	5.8736068578710034e-5	0.0053645609301888495	GOMF	SSD	bifan	Athaliana
protein dimerization activity	24	51	1.2150253918879153e-4	0.010739256689589962	GOMF	SSD	bifan	Athaliana
DNA-binding transcription factor activity	50	135	1.3351421528451656e-4	0.01143215468373673	GOMF	SSD	bifan	Athaliana
oxidoreductase activity	244	873	1.826469924047204e-4	0.01516523512693739	GOMF	SSD	bifan	Athaliana
aminoacyl-tRNA hydrolase activity	7	8	2.077381206860159e-4	0.016585745698585723	GOMF	SSD	bifan	Athaliana
nucleic acid binding	154	522	2.1186171512791978e-4	0.016585745698585723	GOMF	SSD	bifan	Athaliana
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	17	33	3.075710947570637e-4	0.02340957776762096	GOMF	SSD	bifan	Athaliana
protein binding	1138	4618	4.104435617847296e-4	0.03039500971054484	GOMF	SSD	bifan	Athaliana
adenosylmethionine decarboxylase activity	5	5	6.224837555461021e-4	0.039665243958053945	GOMF	SSD	bifan	Athaliana
cysteine dioxygenase activity	5	5	6.224837555461021e-4	0.039665243958053945	GOMF	SSD	bifan	Athaliana
phosphatidylinositol transfer activity	5	5	6.224837555461021e-4	0.039665243958053945	GOMF	SSD	bifan	Athaliana
phospholipase activator activity	5	5	6.224837555461021e-4	0.039665243958053945	GOMF	SSD	bifan	Athaliana
serine O-acetyltransferase activity	5	5	6.224837555461021e-4	0.039665243958053945	GOMF	SSD	bifan	Athaliana
serine O-acyltransferase activity	5	5	6.224837555461021e-4	0.039665243958053945	GOMF	SSD	bifan	Athaliana
glucose-6-phosphate 1-epimerase activity	7	9	7.488559741704838e-4	0.04559700820504724	GOMF	SSD	bifan	Athaliana
glutathione peroxidase activity	7	9	7.488559741704838e-4	0.04559700820504724	GOMF	SSD	bifan	Athaliana
O-methyltransferase activity	10	16	7.724385494063492e-4	0.04568100086827726	GOMF	SSD	bifan	Athaliana
L-ascorbate peroxidase activity	6	7	8.002511101012074e-4	0.04568100086827726	GOMF	SSD	bifan	Athaliana
S-adenosyl-L-methionine transmembrane transporter activity	6	7	8.002511101012074e-4	0.04568100086827726	GOMF	SSD	bifan	Athaliana
Zinc finger, RING/FYVE/PHD-type	219	510	1.326774692743151e-24	1.2372174009829883e-20	InterPro	SSD	bifan	Athaliana
Small GTP-binding protein domain	74	109	1.37668062932875e-23	6.418773434245297e-20	InterPro	SSD	bifan	Athaliana
RNA recognition motif domain	111	209	1.33565990337181e-21	4.151676199647376e-18	InterPro	SSD	bifan	Athaliana
Zinc finger, RING-type	152	334	2.6529173608395242e-20	6.184613597457141e-17	InterPro	SSD	bifan	Athaliana
Nucleotide-binding alpha-beta plait domain superfamily	113	223	7.656528572319222e-20	1.4123645820081878e-16	InterPro	SSD	bifan	Athaliana
Small GTPase	52	70	9.087600527666623e-20	1.4123645820081878e-16	InterPro	SSD	bifan	Athaliana
RNA-binding domain superfamily	114	227	1.3039223581899285e-19	1.7370108557315832e-16	InterPro	SSD	bifan	Athaliana
Glutaredoxin	32	37	3.5060685196560266e-16	4.086761118224056e-13	InterPro	SSD	bifan	Athaliana
Ubiquitin-conjugating enzyme, active site	28	31	2.2362764890123457e-15	2.317030917782236e-12	InterPro	SSD	bifan	Athaliana
Ubiquitin-conjugating enzyme E2	34	44	2.9607583324432344e-14	2.760907145003316e-11	InterPro	SSD	bifan	Athaliana
Thioredoxin-like superfamily	97	209	4.2284441005028445e-14	3.584567385199002e-11	InterPro	SSD	bifan	Athaliana
Small GTPase superfamily, ARF/SAR type	19	19	6.401658574116508e-13	4.97462218363637e-10	InterPro	SSD	bifan	Athaliana
Cyclophilin-like domain superfamily	25	30	3.695053519092567e-12	2.4611695761098704e-9	InterPro	SSD	bifan	Athaliana
Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	25	30	3.695053519092567e-12	2.4611695761098704e-9	InterPro	SSD	bifan	Athaliana
Disease resistance protein, plants	57	107	7.524856649091666e-12	4.677952550185319e-9	InterPro	SSD	bifan	Athaliana
Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	22	25	8.321530386186822e-12	4.849891928199507e-9	InterPro	SSD	bifan	Athaliana
Chlorophyll A-B binding protein, plant and chromista	19	20	1.003373664476026e-11	5.503799659552319e-9	InterPro	SSD	bifan	Athaliana
NB-ARC	56	106	1.7785863356470833e-11	9.214065322171695e-9	InterPro	SSD	bifan	Athaliana
Small auxin-up RNA	31	45	6.351952014511158e-11	3.117471186069292e-8	InterPro	SSD	bifan	Athaliana
Ubiquitin-conjugating enzyme/RWD-like	34	53	1.5193187791057273e-10	7.083823807580453e-8	InterPro	SSD	bifan	Athaliana
Apoptotic protease-activating factors, helical domain	49	92	2.2100268427990092e-10	9.813571575762268e-8	InterPro	SSD	bifan	Athaliana
Proteasome, subunit alpha/beta	20	24	5.83317713050009e-10	2.47247167008697e-7	InterPro	SSD	bifan	Athaliana
Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site	16	17	7.232757734206082e-10	2.932411559629205e-7	InterPro	SSD	bifan	Athaliana
Zinc finger, RING-CH-type	24	33	1.6491772063537007e-9	6.008736372384815e-7	InterPro	SSD	bifan	Athaliana
Beta-glucanase/XTH	18	21	1.8042318329949044e-9	6.008736372384815e-7	InterPro	SSD	bifan	Athaliana
Glycoside hydrolase family 16	18	21	1.8042318329949044e-9	6.008736372384815e-7	InterPro	SSD	bifan	Athaliana
Xyloglucan endo-transglycosylase, C-terminal	18	21	1.8042318329949044e-9	6.008736372384815e-7	InterPro	SSD	bifan	Athaliana
Xyloglucan endotransglucosylase/hydrolase	18	21	1.8042318329949044e-9	6.008736372384815e-7	InterPro	SSD	bifan	Athaliana
Chlorophyll A-B binding protein	19	23	2.140463717568397e-9	6.882697988388036e-7	InterPro	SSD	bifan	Athaliana
Glutaredoxin-like, plant II	15	16	2.99021834326981e-9	9.294595350330325e-7	InterPro	SSD	bifan	Athaliana
E3 ubiquitin-protein ligase RNF126-like, zinc-ribbon	13	13	4.57383895458859e-9	1.292456007622382e-6	InterPro	SSD	bifan	Athaliana
Proteasome alpha-subunit, N-terminal domain	13	13	4.57383895458859e-9	1.292456007622382e-6	InterPro	SSD	bifan	Athaliana
Proteasome alpha-type subunit	13	13	4.57383895458859e-9	1.292456007622382e-6	InterPro	SSD	bifan	Athaliana
FKBP-type peptidyl-prolyl cis-trans isomerase domain	18	22	7.7869007570178e-9	2.1356720458585584e-6	InterPro	SSD	bifan	Athaliana
Chaperone J-domain superfamily	50	103	9.23605669781009e-9	2.4039722611420434e-06	InterPro	SSD	bifan	Athaliana
Histone-fold	32	54	9.280750820494752e-9	2.4039722611420434e-06	InterPro	SSD	bifan	Athaliana
Histone H2A/H2B/H3	22	31	1.6799453039938923e-8	4.233916205335958e-6	InterPro	SSD	bifan	Athaliana
E3 ubiquitin-protein ligase RING1-like	12	12	2.0059116131702676e-8	4.676281448203186e-6	InterPro	SSD	bifan	Athaliana
Histone H2A	12	12	2.0059116131702676e-8	4.676281448203186e-6	InterPro	SSD	bifan	Athaliana
Histone H2A, C-terminal domain	12	12	2.0059116131702676e-8	4.676281448203186e-6	InterPro	SSD	bifan	Athaliana
Short-chain dehydrogenase/reductase SDR	33	59	3.953625958549656e-8	8.992088308164766e-6	InterPro	SSD	bifan	Athaliana
DnaJ domain	46	97	8.761224106656466e-8	1.9452003522517035e-5	InterPro	SSD	bifan	Athaliana
Nucleophile aminohydrolases, N-terminal	27	45	9.314648424067813e-8	2.019978989637962e-5	InterPro	SSD	bifan	Athaliana
Transcription termination factor, mitochondrial/chloroplastic	22	33	9.897907981182601e-8	2.097681634648358e-5	InterPro	SSD	bifan	Athaliana
Expansin	12	13	2.058824422570713e-7	4.1735951609721516e-5	InterPro	SSD	bifan	Athaliana
Senescence regulator S40	12	13	2.058824422570713e-7	4.1735951609721516e-5	InterPro	SSD	bifan	Athaliana
Mitochondrial carrier domain superfamily	31	57	2.399189903866023e-7	4.6609262194897216e-5	InterPro	SSD	bifan	Athaliana
Mitochondrial substrate/solute carrier	31	57	2.399189903866023e-7	4.6609262194897216e-5	InterPro	SSD	bifan	Athaliana
Haem peroxidase	21	32	2.9179581725004886e-7	5.4419919917134115e-5	InterPro	SSD	bifan	Athaliana
MTERF superfamily, mitochondrial/chloroplastic	21	32	2.9179581725004886e-7	5.4419919917134115e-5	InterPro	SSD	bifan	Athaliana
Aldo/keto reductase, conserved site	10	10	3.8558163218172793e-7	6.914516769412717e-5	InterPro	SSD	bifan	Athaliana
Small GTPase superfamily, ARF type	10	10	3.8558163218172793e-7	6.914516769412717e-5	InterPro	SSD	bifan	Athaliana
Leucine-rich repeat 3	30	56	5.789892098150764e-7	1.0186932795331298e-4	InterPro	SSD	bifan	Athaliana
Haem peroxidase superfamily	21	33	6.292251077669359e-7	1.0865785425790144e-4	InterPro	SSD	bifan	Athaliana
Glutaredoxin subgroup	13	16	1.256114802262899e-6	2.1296855511093694e-4	InterPro	SSD	bifan	Athaliana
Glutathione S-transferase, C-terminal-like	24	42	1.6714860292198049e-6	2.5835032824551976e-4	InterPro	SSD	bifan	Athaliana
Histone H2A conserved site	9	9	1.6900128710966976e-6	2.5835032824551976e-4	InterPro	SSD	bifan	Athaliana
Mitochondrial glycoprotein	9	9	1.6900128710966976e-6	2.5835032824551976e-4	InterPro	SSD	bifan	Athaliana
Mitochondrial glycoprotein superfamily	9	9	1.6900128710966976e-6	2.5835032824551976e-4	InterPro	SSD	bifan	Athaliana
